No,Chinese,Pinyin,English
819,毁灭,huǐmiè,Ruin
820,会晤,huìwù,Meet
821,汇报,huìbào,report
822,贿赂,huìlù,bribery
823,昏迷,hūnmí,coma
824,荤,hūn,meat
825,浑身,húnshēn,All
826,混合,hùnhé,blend
827,混乱,hùnluàn,confusion
828,混淆,hùnxiáo,confusion
829,混浊,hùnzhuó,Turbidity
830,活该,huógāi,You deserves it
831,活力,huólì,energy; vigor
832,火箭,huǒjiàn,rocket
833,火焰,huǒyàn,flame
834,火药,huǒyào,gunpowder
835,货币,huòbì,currency
836,基地,jīdì,base
837,基金,jījīn,fund
838,基因,jīyīn,gene
839,机动,jīdòng,Maneuver
840,机构,jīgòu,mechanism
841,机灵,jīling,wise; clever
842,机密,jīmì,Confidential
843,机械,jīxiè,Mechanics
844,机遇,jīyù,Opportunity
845,机智,jīzhì,tactful; resourceful
846,激发,jīfā,inspire
847,激励,jīlì,inspirit
848,激情,jīqíng,Passion
849,饥饿,jī’è,hunger
850,讥笑,jīxiào,fleer
851,极端,jíduān,extreme
852,极限,jíxiàn,limit
853,即便,jíbiàn,even if
854,即将,jíjiāng,soon
855,级别,jíbié,level
856,疾病,jíbìng,disease
857,嫉妒,jídù,Envy
858,及早,jízǎo,as soon as possible
859,急功近利,jígōngjìnlì,Be anxious to achieve quick success and get instant benefits
860,急剧,jíjù,sharp
861,急切,jíqiè,impatient eager; imperative
862,急于求成,jíyúqiúchéng,Be anxious for success
863,急躁,jízào,Impatient
864,籍贯,jíguàn,Place of origin
865,集团,jítuán,group
866,吉祥,jíxiáng,lucky; auspicious
867,给予,jǐyǔ,give
868,寄托,jìtuō,place on; consign or commit
869,继承,jìchéng,inherit
870,记性,jìxing,memory
871,记载,jìzǎi,Record
872,季度,jìdù,quarter (of a year)
873,季军,jìjūn,Third place
874,计较,jìjiào,Regardless of
875,忌讳,jìhuì,Taboo
876,寂静,jìjìng,Silent
877,纪要,jìyào,summary
878,技巧,jìqiǎo,Skill
879,迹象,jìxiàng,Sign
880,家常,jiācháng,the daily life of a family
881,家伙,jiāhuo,Fellow
882,家属,jiāshǔ,family members
883,家喻户晓,jiāyùhùxiǎo,widely known
884,加工,jiāgōng,machining
885,加剧,jiājù,exacerbate
886,佳肴,jiāyáo,Delicacy
887,夹杂,jiāzá,Inclusion
888,煎,jiān,Fried
889,坚定,jiāndìng,"Firm, steadfast"
890,坚固,jiāngù,strong
891,坚韧,jiānrèn,gritty; hard-bitten
892,坚实,jiānshí,solid
893,坚硬,jiānyìng,hard
894,监督,jiāndū,supervise
895,监视,jiānshì,Monitor
896,监狱,jiānyù,Prison
897,尖端,jiānduān,top end
898,尖锐,jiānruì,Sharp
899,艰难,jiānnán,difficult
900,拣,jiǎn,Pick
901,剪彩,jiǎncǎi,Ribbon-cutting
902,检讨,jiǎntǎo,A review
903,检验,jiǎnyàn,test
904,简化,jiǎnhuà,predigest
905,简陋,jiǎnlòu,simple and crude
906,简体字,jiǎntǐzì,simplified character
907,简要,jiǎnyào,in brief
908,溅,jiàn,splash
909,鉴别,jiànbié,differentiate
910,鉴定,jiàndìng,Appraisal
911,鉴于,jiànyú,In view of the fact that
912,间谍,jiàndié,espionage
913,间隔,jiàngé,interval
914,间接,jiànjiē,indirect
915,见多识广,jiànduōshíguǎng,Have great experience
916,见解,jiànjiě,Opinion
917,见闻,jiànwén,Informative
918,见义勇为,jiànyìyǒngwéi,Do boldly what is righteous
919,健全,jiànquán,sound
920,践踏,jiàntà,override
921,舰艇,jiàntǐng,Naval vessels
922,剑,jiàn,sword
923,将近,jiāngjìn,nearly
924,将军,jiāngjūn,General
925,将就,jiāng jiù,put up with
926,僵硬,jiāngyìng,stiff
927,桨,jiǎng,propeller
928,奖励,jiǎnglì,reward
929,奖赏,jiǎngshǎng,reward
930,降临,jiànglín,become of; befall; arrive
931,交叉,jiāochā,intercross
932,交代,jiāodài,hand over
933,交涉,jiāoshè,Negotiate
934,交易,jiāoyì,transaction
935,焦点,jiāodiǎn,focus
936,焦急,jiāojí,anxious
937,娇气,jiāoqì,effeminate
938,角落,jiǎoluò,corner
939,搅拌,jiǎobàn,mix up
940,缴纳,jiǎonà,Pay
941,侥幸,jiǎoxìng,by luck
942,教养,jiàoyǎng,train; upbringing; education
943,较量,jiàoliàng,Contest
944,皆,jiē,all
945,接连,jiēlián,One after another
946,阶层,jiēcéng,stratum
947,揭露,jiēlù,Expose
948,节奏,jiézòu,rhythm
949,节制,jiézhì,dicipline
950,杰出,jiéchū,outstanding
951,结晶,jiéjīng,result; finale
952,结局,jiéjú,Ending
953,结算,jiésuàn,Settlement
954,竭尽全力,jiéjìnquánlì,Strain every nerve
955,截至,jiézhì,By (time）
956,截止,jiézhǐ,due
957,解除,jiěchú,Relieve
958,解放,jiěfàng,liberate
959,解雇,jiěgù,fire
960,解剖,jiěpōu,anatomy
961,解散,jiěsàn,dissolution
962,解体,jiětǐ,Disintegrate
963,借鉴,jièjiàn,take example by
964,借助,jièzhù,With the help of
965,戒备,jièbèi,Alert
966,界限,jièxiàn,limit
967,津津有味,jīnjīnyǒuwèi,Eat with appetite
968,金融,jīnróng,Finance
969,紧迫,jǐnpò,urgent
970,锦上添花,jǐnshàngtiānhuā,icing on the cake
971,进而,jìn’ér,and then
972,进攻,jìngōng,attack
973,进化,jìnhuà,evolution
974,进展,jìnzhǎn,evolve; get along
975,近来,jìnlái,recently
976,浸泡,jìnpào,soak
977,晋升,jìnshēng,Promotion
978,茎,jīng,stalk; stem
979,精打细算,jīngdǎxìsuàn,pinch pennies
980,精华,jīnghuá,elite; distillate
981,精简,jīngjiǎn,simplify; condense
982,精密,jīngmì,exact; close
983,精确,jīngquè,accurate; exact
984,精通,jīngtōng,"Master, be good at"
985,精心,jīngxīn,Elaborate
986,精益求精,jīngyìqiújīng,keep improving
987,精致,jīngzhì,delicate
988,经费,jīngfèi,funds
989,经纬,jīngwěi,longitude and latitude
990,惊动,jīngdòng,Disturb
991,惊奇,jīngqí,Be surprised
992,惊讶,jīngyà,surprised
993,兢兢业业,jīngjīngyèyè,cautious and conscientious
994,井,jǐng,well
995,警告,jǐnggào,warning
996,警惕,jǐngtì,Be vigilant
997,颈椎,jǐngzhuī,cervical vertebra
998,敬礼,jìnglǐ,Salute
999,敬业,jìngyè,dedication (work)
1000,境界,jìngjiè,realm; extent reached
1001,竞赛,jìngsài,competition
1002,竞选,jìngxuǎn,Campaign for
1003,镜头,jìngtóu,Camera lens
1004,纠纷,jiūfēn,dissension; tangle
1005,纠正,jiūzhèng,correct
1006,酒精,jiǔjīng,alcohol
1007,救济,jiùjì,redress; relief
1008,就近,jiùjìn,Nearby
1009,就业,jiùyè,take up an occupation
1010,就职,jiùzhí,Inauguration
1011,鞠躬,jūgōng,Bow
1012,拘留,jūliú,detain
1013,拘束,jūshù,constrained; ill at ease
1014,居民,jūmín,residents
1015,居住,jūzhù,live
1016,局部,júbù,local
1017,局面,júmiàn,situation
1018,局势,júshì,Situation
1019,局限,júxiàn,limit; confine
1020,举动,jǔdòng,Move
1021,举世瞩目,jǔshìzhǔmù,attract worldwide attention
1022,举足轻重,jǔzúqīngzhòng,Play a decisive role
1023,咀嚼,jǔjué,Chew
1024,沮丧,jǔsàng,depressed
1025,剧本,jùběn,Script
1026,剧烈,jùliè,Severe
1027,聚精会神,jùjīnghuìshén,Concentrate one’s attention on
1028,据悉,jùxī,it is reported
1029,卷,juǎn,volume
1030,决策,juécè,make policy
1031,觉悟,juéwù,consciousness
1032,觉醒,juéxǐng,rouse; awake
1033,绝望,juéwàng,Despair
1034,倔强,juéjiàng,stubborn
1035,军队,jūnduì,army
1036,君子,jūnzǐ,gentleman
1037,卡通,kǎtōng,Cartoon
1038,开采,kāicǎi,exploit (mine)
1039,开除,kāichú,Expel
1040,开阔,kāikuò,open
1041,开朗,kāilǎng,Optimistic
1042,开明,kāimíng,enlightened
1043,开辟,kāipì,open up
1044,开拓,kāituò,open up; exploit
1045,开展,kāizhǎn,Develop
1046,开支,kāizhī,expenditure
1047,刊登,kāndēng,publish in a newspaper
1048,刊物,kānwù,Publication
1049,勘探,kāntàn,prospect for; prove up
1050,砍伐,kǎnfá,lop
1051,侃侃而谈,kǎnkǎn ér tán,chatting
1052,看待,kàndài,To view
1053,慷慨,kāngkǎi,generous
1054,扛,káng,Carry
1055,抗议,kàngyì,Protest
1056,考察,kǎochá,Investigate
1057,考古,kǎogǔ,Archaeology
1058,考核,kǎohé,examine; assess
1059,考验,kǎoyàn,test
1060,靠拢,kàolǒng,Close to
1061,磕,kē,Knock
1062,科目,kēmù,Subject
1063,渴望,kěwàng,Yearn
1064,可观,kěguān,considerable
1065,可口,kěkǒu,Delicious
1066,可恶,kěwù,loathsome; hateful
1067,可行,kěxíng,feasible
1068,刻不容缓,kèbùrónghuǎn,Brook no delay
1069,课题,kètí,topic
1070,克制,kèzhì,restrain
1071,客户,kèhù,Customer
1072,啃,kěn,Bite
1073,恳切,kěnqiè,fair-spoken
1074,坑,kēng,pit
1075,空洞,kōngdòng,empty
1076,空前绝后,kōngqiánjuéhòu,Unprecedented
1077,空想,kōngxiǎng,escapism; dream; phantasm
1078,空虚,kōngxū,vain; empty
1079,孔,kǒng,hole
1080,恐怖,kǒngbù,terror
1081,恐吓,kǒnghè,intimidate
1082,恐惧,kǒngjù,Fear
1083,空白,kòngbái,blank; vacancy
1084,空隙,kòngxì,interspaced; lacuna
1085,口气,kǒuqì,tone
1086,口腔,kǒuqiāng,mouth; oral cavity
1087,口头,kǒutóu,oral
1088,口音,kǒuyīn,accent
1089,扣,kòu,button
1090,哭泣,kūqì,cry
1091,枯燥,kūzào,Boring
1092,枯萎,kūwěi,withered
1093,苦涩,kǔsè,bitter
1094,苦尽甘来,kǔjìngānlái,All sufferings have their reward
1095,挎,kuà,carry on the arm
1096,跨,kuà,Cross
1097,快活,kuàihuo,happy
1098,宽敞,kuānchang,spacious; commodious
1099,宽容,kuānróng,tolerant
1100,款待,kuǎndài,Entertain
1101,款式,kuǎnshì,style
1102,筐,kuāng,basket
1103,旷课,kuàngkè,Absenteeism
1104,框架,kuàngjià,frame
1105,况且,kuàngqiě,moreover
1106,矿产,kuàngchǎn,mineral
1107,亏待,kuīdài,Treat
1108,亏损,kuīsǔn,loss
1109,捆绑,kǔnbǎng,binding
1110,扩充,kuòchōng,extend; enlarge
1111,扩散,kuòsàn,spread
1112,扩张,kuòzhāng,expand; outspread
1113,喇叭,lǎba,horn
1114,蜡烛,làzhú,candle
1115,啦,la,
1116,来历,láilì,Origin
1117,来源,láiyuán,source
1118,栏目,lánmù,column
1119,懒惰,lǎnduò,lazy
1120,狼狈,lángbèi,in sore straits; in a tight corner
1121,狼吞虎咽,lángtūnhǔyàn,devour like a wolf
1122,捞,lāo,Fishing
1123,唠叨,láodao,To nag
1124,牢固,láogù,solid
1125,牢骚,láosāo,Complain
1126,乐趣,lèqù,pleasure
1127,乐意,lèyì,Happy
1128,雷达,léidá,radar
1129,类似,lèisì,Similar
1130,冷酷,lěngkù,cool
1131,冷却,lěngquè,cooling
1132,冷落,lěngluò,indiffenrent
1133,愣,lèng,distracted
1134,黎明,límíng,Dawn
1135,里程碑,lǐchéngbēi,Milepost
1136,礼节,lǐjié,etiquette
1137,礼尚往来,lǐshàngwǎnglái,reci[rocity
1138,理睬,lǐcǎi,Acknowledge
1139,理所当然,lǐsuǒdāngrán,go without saying; of course
1140,理直气壮,lǐzhíqìzhuàng,one is assured and bold with justice
1141,理智,lǐzhì,reasonable
1142,粒,lì,grain (measure word)
1143,立场,lìchǎng,position
1144,立方,lìfāng,cube
1145,立交桥,lìjiāoqiáo,Overpass
1146,立体,lìtǐ,Three-dimensional
1147,立足,lìzú,Based on the
1148,历代,lìdài,past dynasties
1149,历来,lìlái,always
1150,利害,lìhài,Interest
1151,力所能及,lìsuǒnéngjí,Do everything in one’s power
1152,力争,lìzhēng,Strive to
1153,力求,lìqiú,strive for
1154,例外,lìwài,exception
1155,连年,liánnián,in successive years
1156,连锁,liánsuǒ,chain
1157,连同,liántóng,together with
1158,联欢,liánhuān,Gala
1159,联络,liánluò,liaison
1160,联盟,liánméng,union
1161,联想,liánxiǎng,association
1162,廉洁,liánjié,uncorrupted; clean-fingered
1163,良心,liángxīn,conscience
1164,晾,liàng,Dry
1165,谅解,liàngjiě,understanding
1166,辽阔,liáokuò,Vast
1167,列举,lièjǔ,list
1168,淋,lín,Shower
1169,临床,línchuáng,clinical
1170,吝啬,lìnsè,Stingy
1171,零星,língxīng,Sporadic
1172,凌晨,língchén,Before dawn
1173,灵感,línggǎn,inspiration
1174,灵魂,línghún,soul
1175,灵敏,língmǐn,sensitive
1176,伶俐,línglì,Clever
1177,领会,lǐnghuì,Understand
1178,领事馆,lǐngshìguǎn,Consulate
1179,领土,lǐngtǔ,territory
1180,领悟,lǐngwù,Understand
1181,领先,lǐngxiān,keep ahead
1182,领袖,lǐngxiù,leader
1183,溜,liū,Slip
1184,留恋,liúliàn,be reluctant to leave
1185,留念,liúniàn,As a souvenir
1186,留神,liúshén,Watch
1187,流浪,liúlàng,lead a vagrant life; rove; roam about
1188,流露,liúlù,reveal
1189,流氓,liúmáng,rogue
1190,流通,liútōng,circulation
1191,聋哑,lóngyǎ,Deaf-mute
1192,隆重,lóngzhòng,ceremonious
1193,垄断,lǒngduàn,monopoly
1194,笼罩,lǒngzhào,Shrouded
1195,搂,lǒu,Hug
1196,炉灶,lúzào,A kitchen stove
1197,轮船,lúnchuán,Ship
1198,轮廓,lúnkuò,outline
1199,轮胎,lúntāi,tyre
1200,论坛,lùntán,forum
1201,论证,lùnzhèng,Demonstration
1202,啰唆,luōsuo,"troublesome, wordy"
1203,落成,luòchéng,Completion
1204,落实,luòshí,put into effect
1205,络绎不绝,luòyìbùjué,Go and fro in constant streams
1206,屡次,lǚcì,Repeatedly
1207,履行,lǚxíng,Perform
1208,掠夺,lüèduó,plunder
1209,麻痹,mábì,lull; blunt; paralysis
1210,麻木,mámù,numbness
1211,麻醉,mázuì,narcosis
1212,码头,mǎtóu,wharf
1213,蚂蚁,mǎyǐ,ant
1214,嘛,ma,
1215,埋伏,máifú,Ambush
1216,埋没,máimò,immerse oneself in
1217,埋葬,máizàng,bury
1218,迈,mài,Wallace
1219,脉搏,màibó,pulse
1220,埋怨,mányuàn,Complain
1221,慢性,mànxìng,chronic
1222,漫长,màncháng,Very long
1223,漫画,mànhuà,Cartoon
1224,蔓延,mànyán,spread; creep
1225,忙碌,mánglù,Be busy
1226,茫茫,mángmáng,vast; boundless
1227,茫然,mángrán,Blank
1228,盲目,mángmù,blind
1229,冒充,màochōng,Posing
1230,冒犯,màofàn,offend
1231,茂盛,màoshèng,Lush
1232,枚,méi,measure word for medal
1233,媒介,méijiè,agent; medium
1234,美观,měiguān,Beautiful
1235,美满,měimǎn,happy; perfect
1236,美妙,měimiào,wonderful
1237,萌芽,méngyá,bud; sprout
1238,猛烈,měngliè,violent
1239,眯,mī,take a nap
1240,弥补,míbǔ,remedy; offset
1241,弥漫,mímàn,permeate; fill the air
1242,迷惑,míhuò,puzzle; delude
1243,迷人,mírén,charming
1244,迷信,míxìn,superstition
1245,谜语,míyǔ,Riddle
1246,密度,mìdù,density
1247,密封,mìfēng,Seal up
1248,棉花,miánhua,cotton
1249,免得,miǎndé,lest
1250,免疫,miǎnyì,immune
1251,勉励,miǎnlì,Encourage
1252,勉强,miǎnqiǎng,reluctantly
1253,面貌,miànmào,face
1254,面子,miànzi,prestige; face
1255,描绘,miáohuì,describe; portray
1256,瞄准,miáozhǔn,aim
1257,渺小,miǎoxiǎo,Tiny
1258,藐视,miǎoshì,contempt
1259,蔑视,mièshì,disparage; scorn
1260,灭亡,mièwáng,perish
1261,民间,mínjiān,nongovernmental
1262,民主,mínzhǔ,democratic
1263,敏捷,mǐnjié,agile
1264,敏锐,mǐnruì,keen
1265,明明,míngmíng,Obviously
1266,明智,míngzhì,wise
1267,名次,míngcì,Ranking
1268,名额,míng’é,Places
1269,名副其实,míngfùqíshí,Be worthy of the name
1270,名誉,míngyù,reputation
1271,命名,mìngmíng,call; nominate
1272,摸索,mōsuǒ,fumble; grope
1273,膜,mó,membrane
1274,摩擦,mócā,rub; scrape
1275,磨合,móhé,running-in
1276,模范,mófàn,model
1277,模式,móshì,mode; style
1278,模型,móxíng,Model
1279,魔鬼,móguǐ,devil; demon
1280,魔术,móshù,Magic
1281,抹杀,mǒshā,write off; obliterate
1282,莫名其妙,mòmíng-qímiào,without rhyme or reason
1283,默默,mòmò,silently
1284,墨水儿,mòshuǐr,book learning
1285,谋求,móuqiú,seek
1286,模样,múyàng,Appearance
1287,母语,mǔyǔ,Mother tongue
1288,目睹,mùdǔ,witness; see with one’s eyes
1289,目光,mùguāng,Eye
1290,沐浴,mùyù,Bath
1291,拿手,náshǒu,Good
1292,纳闷儿,nàmènr,feel puzzle
1293,耐用,nàiyòng,durable
1294,南辕北辙,nányuánběizhé,have nothing in common
1295,难得,nándé,rare
1296,难堪,nánkān,Embarrassed
1297,难能可贵,nánnéngkěguì,Praiseworthy for one’s excellent conduct
1298,恼火,nǎohuǒ,angry; take fire
1299,内涵,nèihán,connotation
1300,内幕,nèimù,Insider
1301,内在,nèizài,inherent
1302,能量,néngliàng,energy
1303,拟定,nǐdìng,study out
1304,逆行,nìxíng,retrograde motion
1305,年度,niándù,year
1306,捏,niē,Pinch
1307,拧,níng,Screw
1308,凝固,nínggù,freezing
1309,凝聚,níngjù,condensation
1310,凝视,níngshì,gaze; stare
1311,宁肯,nìngkěn,would rather than
1312,宁愿,nìngyuàn,would rather
1313,纽扣儿,niǔkòur,button
1314,扭转,niǔzhuǎn,Reverse
1315,浓厚,nónghòu,dense
1316,农历,nónglì,Lunar calendar
1317,奴隶,núlì,slave
1318,挪,nuó,move; shift
1319,虐待,nüèdài,To abuse
1320,哦,o,Oh
1321,殴打,ōudǎ,beat up; hit; drub
1322,偶像,ǒuxiàng,idol
1323,呕吐,ǒutù,vomit
1324,趴,pā,Lie
1325,排斥,páichì,exclude
1326,排除,páichú,eliminate; remove; debar
1327,排练,páiliàn,rehearse
1328,排放,páifàng,discharge
1329,徘徊,páihuái,wander
1330,派别,pàibié,faction; group
1331,派遣,pàiqiǎn,send; dispatch
1332,攀登,pāndēng,Climb
1333,盘旋,pánxuán,convolute; hover
1334,畔,pàn,"bank, side"
1335,判决,pànjué,Sentence
1336,庞大,pángdà,enormous
1337,抛弃,pāoqì,throw over; abandon; discard
1338,泡沫,pàomò,bubble; froth
1339,培育,péiyù,Cultivation
1340,配备,pèibèi,Equipment
1341,配偶,pèi’ǒu,consort; mate
1342,配套,pèitào,form a complete set
1343,盆地,péndì,basin
1344,烹饪,pēngrèn,cooking
1345,捧,pěng,Holding
1346,劈,pī,split
1347,批发,pīfā,wholesale
1348,批判,pīpàn,critique
1349,疲惫,píbèi,tired out; exhausted
1350,疲倦,píjuàn,Tired
1351,皮革,pígé,leather
1352,屁股,pìgu,Butt
1353,譬如,pìrú,for example
1354,偏差,piānchā,error; deviation
1355,偏见,piānjiàn,prejudice
1356,偏僻,piānpì,out of the way; devious; outlying
1357,偏偏,piānpiān,Just
1358,片断,piànduàn,Fragment
1359,片刻,piànkè,a while; a moment
1360,飘扬,piāoyáng,Flying
1361,漂浮,piāofú,Float
1362,撇,piē,cast aside
1363,拼搏,pīnbó,go all out in work
1364,拼命,pīnmìng,Try my best
1365,频繁,pínfán,frequently
1366,频率,pínlǜ,frequency
1367,贫乏,pínfá,poor; lacking indigent
1368,贫困,pínkùn,Poor
1369,品尝,pǐncháng,Taste
1370,品德,pǐndé,Character
1371,品质,pǐnzhì,quality
1372,品种,pǐnzhǒng,Varieties
1373,平凡,píngfán,ordinary
1374,平面,píngmiàn,plane
1375,平坦,píngtǎn,flat
1376,平行,píngxíng,Parallel
1377,平原,píngyuán,plain
1378,平庸,píngyōng,mediocre
1379,评估,pínggū,evaluate
1380,评论,pínglùn,comment
1381,屏障,píngzhàng,wall; barrier
1382,屏幕,píngmù,screen
1383,坡,pō,slope
1384,泼,pō,Splash
1385,颇,pō,quite; pretty
1386,破例,pòlì,Make an exception
1387,迫不及待,pòbùjídài,Unable to hold oneself back
1388,迫害,pòhài,persecution
1389,魄力,pòlì,Courage
1390,扑,pū,Flutter
1391,铺,pū,spread
1392,普及,pǔjí,Universal
1393,朴实,pǔshí,simple
1394,朴素,pǔsù,simple
1395,瀑布,pùbù,Waterfall
1396,期望,qīwàng,Expect
1397,期限,qīxiàn,term
1398,欺负,qīfu,bully
1399,欺骗,qīpiàn,Deception
1400,凄凉,qīliáng,Desolate
1401,奇妙,qímiào,wonderful
1402,旗袍,qípáo,cheongsam
1403,旗帜,qízhì,flag
1404,齐全,qíquán,complete; all ready
1405,齐心协力,qíxīn-xiélì,Make concerted efforts
1406,歧视,qíshì,discrimination
1407,起草,qǐcǎo,Draft
1408,起初,qǐchū,at first
1409,起伏,qǐfú,undulate
1410,起哄,qǐhòng,kick up a row
1411,起码,qǐmǎ,"Minimum, at least"
1412,起源,qǐyuán,origin
1413,启程,qǐchéng,set out
1414,启示,qǐshì,enlightenment
1415,启事,qǐshì,Notice
1416,启蒙,qǐméng,enlightenment
1417,乞丐,qǐgài,Beggar
1418,企图,qǐtú,Attempt
1419,岂有此理,qǐyǒu-cǐlǐ,outrageous; preposterous
1420,器材,qìcái,equipment
1421,器官,qìguān,organ
1422,气概,qìgài,Spirit
1423,气功,qìgōng,Qigong (a system of breathing technique)
1424,气魄,qìpò,Verve
1425,气色,qìsè,Look
1426,气势,qìshì,vigor
1427,气味,qìwèi,smell
1428,气象,qìxiàng,Meteorological
1429,气压,qìyā,pressure
1430,气质,qì zhì,temperament
1431,迄今为止,qìjīn-wéizhǐ,So far
1432,掐,qiā,Pinch
1433,恰当,qiàdàng,appropriate
1434,恰到好处,qiàdàohǎochù,just right
1435,恰巧,qiàqiǎo,Just
1436,洽谈,qiàtán,talk over with
1437,牵,qiān,Pull
1438,牵扯,qiānchě,Involved
1439,牵制,qiānzhì,hold down
1440,千方百计,qiānfāng-bǎijì,Make every attempt
1441,签署,qiānshǔ,sign; affix to; subscribe
1442,迁就,qiānjiù,indulge
1443,迁徙,qiānxǐ,migrate
1444,谦逊,qiānxùn,Modest
1445,前景,qiánjǐng,prospect
1446,前提,qiántí,precondition
1447,潜力,qiánlì,potential
1448,潜水,qiánshuǐ,Diving
1449,潜移默化,qiányí-mòhuà,Influence character by environment
1450,谴责,qiǎnzé,condemn; accuse; censure
1451,强制,qiángzhì,force; oblige
1452,抢劫,qiǎngjié,Robbery
1453,抢救,qiǎngjiù,rescue
1454,强迫,qiǎngpò,Force
1455,桥梁,qiáoliáng,bridge
1456,翘,qiào,Alice
1457,窍门,qiàomén,trick
1458,锲而不舍,qiè’érbùshě,Keep on carving
1459,切实,qièshí,practical
1460,亲密,qīnmì,close
1461,亲热,qīnrè,Affectionate
1462,侵犯,qīnfàn,Violation
1463,侵略,qīnlüè,aggression
1464,钦佩,qīnpèi,admire
1465,勤俭,qínjiǎn,hardworking and thrifty
1466,勤劳,qínláo,industrious
1467,清澈,qīngchè,clear
1468,清晨,qīngchén,Early morning
1469,清除,qīngchú,Eliminate
1470,清洁,qīngjié,clean
1471,清理,qīnglǐ,Clear
1472,清晰,qīngxī,clear
1473,清醒,qīngxǐng,Sober
1474,清真,qīngzhēn,Muslim
1475,倾听,qīngtīng,Listen for
1476,倾向,qīngxiàng,inclination
1477,倾斜,qīngxié,tilt
1478,晴朗,qínglǎng,sunny
1479,情报,qíngbào,intelligence
1480,情节,qíngjié,plot
1481,情理,qínglǐ,Reason
1482,情形,qíngxíng,Situation
1483,请柬,qǐngjiǎn,Invitation card
1484,请教,qǐngjiào,Consult
1485,请示,qǐngshì,For instructions
1486,请帖,qǐngtiě,Invitation
1487,丘陵,qiūlíng,hill
1488,区分,qūfēn,Distinguish
1489,区域,qūyù,region
1490,屈服,qūfú,submit; give in; bend
1491,曲折,qūzhé,Tortuous
1492,驱逐,qūzhú,drive out; banish
1493,渠道,qúdào,channel
1494,取缔,qǔdì,Ban
1495,曲子,qǔzi,Tune
1496,趣味,qùwèi,Interest
1497,圈套,quāntào,trap
1498,全局,quánjú,Overall situation
1499,全力以赴,quánlìyǐfù,do one’s level best; go all out
1500,权衡,quánhéng,Balance
1501,权威,quánwēi,authority
1502,拳头,quántou,fist
1503,犬,quǎn,dog
1504,缺口,quēkǒu,breach; gap
1505,缺席,quēxí,Absent
1506,缺陷,quēxiàn,defect
1507,瘸,qué,Lame
1508,确保,quèbǎo,ensure
1509,确立,quèlì,establish
1510,确切,quèqiè,exact; definite
1511,确信,quèxìn,Sure
1512,群众,qúnzhòng,The masses
1513,染,rǎn,dye
1514,嚷,rǎng,Shout
1515,让步,ràngbù,give in; concede to
1516,饶恕,ráoshù,Forgive
1517,扰乱,rǎoluàn,Disturb
1518,惹祸,rěhuò,Trouble
1519,热泪盈眶,rèlèi-yíngkuàng,one’s eyes brimming with tears
1520,热门,rèmén,Hot
1521,人道,réndào,Humanity
1522,人格,réngé,personality
1523,人工,réngōng,artificial
1524,人家,rénjiā,family
1525,人间,rénjiān,Human world
1526,人士,rénshì,Personage
1527,人为,rénwéi,artificial
1528,人性,rénxìng,human nature
1529,人质,rénzhì,Hostage
1530,仁慈,réncí,Kind
1531,忍耐,rěnnài,Exercise patience
1532,忍受,rěnshòu,bear
1533,认定,rèndìng,cognizance
1534,认可,rènkě,certificate; ratify
1535,任命,rènmìng,Appointment
1536,任性,rènxìng,Wayward
1537,任意,rènyì,Arbitrarily
1538,任重道远,rènzhòng-dàoyuǎn,Take a heavy burden and embark on a long road
1539,仍旧,réngjiù,still
1540,日新月异,rìxīn-yuèyì,Change rapidly
1541,日益,rìyì,increasingly
1542,融化,rónghuà,thaw
1543,融洽,róngqià,harmonious
1544,溶解,róngjiě,dissolve; melt
1545,容貌,róngmào,appearance
1546,容纳,róngnà,accommodate; contain; hold
1547,容器,róngqì,container
1548,容忍,róngrěn,tolerate
1549,荣幸,róngxìng,To be honored
1550,荣誉,róngyù,Honor
1551,揉,róu,Knead
1552,柔和,róuhé,soft
1553,儒家,rújiā,Confucianism
1554,弱点,ruòdiǎn,weakness
1555,若干,ruògān,a certain number or amount
1556,撒谎,sāhuǎng,Lie
1557,散文,sǎnwén,Prose
1558,散布,sànbù,spread
1559,散发,sànfā,Emission
1560,丧失,sàngshī,lose
1561,骚扰,sāorǎo,harassment
1562,嫂子,sǎozi,Sister-in-law
1563,刹车,shāchē,brake
1564,啥,shá,what
1565,筛选,shāixuǎn,screen
1566,山脉,shānmài,Mountain range
1567,闪烁,shǎnshuò,Twinkle
1568,擅长,shàncháng,Be good at
1569,擅自,shànzì,"do sth, without authorization"
1570,商标,shāngbiāo,trademark
1571,伤脑筋,shāngnǎojīn,troublesome
1572,上级,shàngjí,Superior
1573,上进,shàngjìn,Desire to advance
1574,上任,shàngrèn,take up an official post
1575,上瘾,shàngyǐn,Addiction
1576,上游,shàngyóu,Upper reaches
1577,尚且,shàngqiě,yet
1578,捎,shāo,take along sth. to sb
1579,梢,shāo,end; tip
1580,哨,shào,whistle
1581,奢侈,shēchǐ,luxurious
1582,舌头,shétou,Tongue
1583,设立,shèlì,Establish
1584,设想,shèxiǎng,imagine， conceive
1585,设置,shèzhì,Set up
1586,社区,shèqū,Community
1587,涉及,shèjí,Involve
1588,摄氏度,shèshìdù,Centigrade
1589,深奥,shēn’ào,profound
1590,深沉,shēnchén,deep
1591,深情厚谊,shēnqíng-hòuyì,Profound sentiments of friendship
1592,申报,shēnbào,declare
1593,绅士,shēnshì,gentleman
1594,呻吟,shēnyín,moan
1595,神经,shénjīng,nerve
1596,神奇,shénqí,Magical
